DATA	temperatura_srednia	opady	STAN PRZED 20:00	STAN NA 20:00	STAN NA 21:00	OPADY (2)	PAROWANIE (3)	PODLAÆ? (4)	ILE PODLAÆ? (6)	WODOCI¥GI? (7)	ile dolaæ?	msc	opl	05.lut																	
29.maj	14	0	23639,00	23639,00	23639,00	0,00	378,00	FA£SZ	0	FA£SZ	0,00	05-2015	0	FA£SZ	FA£SZ																
30.maj	13	0	23306,00	23306,00	23306,00	0,00	333,00	FA£SZ	0	FA£SZ	0,00	05-2015	0	FA£SZ	FA£SZ																
31.maj	12	0	23015,00	23015,00	23015,00	0,00	291,00	FA£SZ	0	FA£SZ	0,00	05-2015	0	FA£SZ	FA£SZ																
01.cze	18	4	25000,00	25000,00	25000,00	1985,00	0,00	FA£SZ	0	FA£SZ	0,00	06-2015	0	FA£SZ	FA£SZ																
02.cze	18	3	25000,00	25000,00	25000,00	0,00	0,00	FA£SZ	0	FA£SZ	0,00	06-2015	0	FA£SZ	FA£SZ																
03.cze	22	0	24226,00	24226,00	12226,00	0,00	774,00	PRAWDA	12000	FA£SZ	0,00	06-2015	0	PRAWDA	FA£SZ																
04.cze	15	0	12012,00	12012,00	12012,00	0,00	214,00	FA£SZ	0	FA£SZ	0,00	06-2015	0	FA£SZ	FA£SZ																
05.cze	18	0	11736,00	25000,00	13000,00	0,00	276,00	PRAWDA	12000	PRAWDA	13264,00	06-2015	155,71936	PRAWDA	FA£SZ																
06.cze	22	0	12597,00	12597,00	597,00	0,00	403,00	PRAWDA	12000	FA£SZ	0,00	06-2015	0	PRAWDA	FA£SZ																
07.cze	14	8	6197,00	6197,00	6197,00	5600,00	0,00	FA£SZ	0	FA£SZ	0,00	06-2015	0	FA£SZ	FA£SZ																
08.cze	14	5,9	10327,00	10327,00	10327,00	4130,00	0,00	FA£SZ	0	FA£SZ	0,00	06-2015	0	FA£SZ	FA£SZ																
09.cze	12	5	13827,00	13827,00	13827,00	3500,00	0,00	FA£SZ	0	FA£SZ	0,00	06-2015	0	FA£SZ	FA£SZ																
10.cze	16	0	13561,00	13561,00	1561,00	0,00	266,00	PRAWDA	12000	FA£SZ	0,00	06-2015	0	PRAWDA	FA£SZ																
11.cze	16	0	1531,00	25000,00	13000,00	0,00	30,00	PRAWDA	12000	PRAWDA	23469,00	06-2015	275,52606	PRAWDA	FA£SZ																
12.cze	18	5	16500,00	16500,00	16500,00	3500,00	0,00	FA£SZ	0	FA£SZ	0,00	06-2015	0	FA£SZ	FA£SZ																
13.cze	19	1	17200,00	17200,00	17200,00	700,00	0,00	FA£SZ	0	FA£SZ	0,00	06-2015	0	FA£SZ	FA£SZ																
14.cze	22	0	16667,00	16667,00	4667,00	0,00	533,00	PRAWDA	12000	FA£SZ	0,00	06-2015	0	PRAWDA	FA£SZ																
15.cze	16	0	4577,00	25000,00	13000,00	0,00	90,00	PRAWDA	12000	PRAWDA	20423,00	06-2015	239,76602	PRAWDA	FA£SZ																
16.cze	12	0	12837,00	12837,00	12837,00	0,00	163,00	FA£SZ	0	FA£SZ	0,00	06-2015	0	FA£SZ	FA£SZ																
17.cze	14	0	12635,00	12635,00	12635,00	0,00	202,00	FA£SZ	0	FA£SZ	0,00	06-2015	0	FA£SZ	FA£SZ																
18.cze	16	0,3	12845,00	12845,00	845,00	210,00	0,00	PRAWDA	12000	FA£SZ	0,00	06-2015	0	PRAWDA	FA£SZ																
19.cze	12	3	2945,00	2945,00	2945,00	2100,00	0,00	FA£SZ	0	FA£SZ	0,00	06-2015	0	FA£SZ	FA£SZ																
20.cze	13	2	4345,00	4345,00	4345,00	1400,00	0,00	FA£SZ	0	FA£SZ	0,00	06-2015	0	FA£SZ	FA£SZ																
21.cze	12	0	4290,00	4290,00	4290,00	0,00	55,00	FA£SZ	0	FA£SZ	0,00	06-2015	0	FA£SZ	FA£SZ																
22.cze	12	3	6390,00	6390,00	6390,00	2100,00	0,00	FA£SZ	0	FA£SZ	0,00	06-2015	0	FA£SZ	FA£SZ																
23.cze	13	3	8490,00	8490,00	8490,00	2100,00	0,00	FA£SZ	0	FA£SZ	0,00	06-2015	0	FA£SZ	FA£SZ																
24.cze	12	0	8384,00	8384,00	8384,00	0,00	106,00	FA£SZ	0	FA£SZ	0,00	06-2015	0	FA£SZ	FA£SZ																
25.cze	16	0	8223,00	25000,00	13000,00	0,00	161,00	PRAWDA	12000	PRAWDA	16777,00	06-2015	196,96198	PRAWDA	FA£SZ																
26.cze	16	7	17900,00	17900,00	17900,00	4900,00	0,00	FA£SZ	0	FA£SZ	0,00	06-2015	0	FA£SZ	FA£SZ																
27.cze	18	6	22100,00	22100,00	22100,00	4200,00	0,00	FA£SZ	0	FA£SZ	0,00	06-2015	0	FA£SZ	FA£SZ																
28.cze	16	0	21675,00	21675,00	9675,00	0,00	425,00	PRAWDA	12000	FA£SZ	0,00	06-2015	0	PRAWDA	FA£SZ																
29.cze	16	0	9489,00	25000,00	13000,00	0,00	186,00	PRAWDA	12000	PRAWDA	15511,00	06-2015	182,09914	PRAWDA	FA£SZ																
30.cze	19	0	12677,00	12677,00	677,00	0,00	323,00	PRAWDA	12000	FA£SZ	0,00	06-2015	0	PRAWDA	FA£SZ																
01.lip	18	0	661,00	25000,00	13000,00	0,00	16,00	PRAWDA	12000	PRAWDA	24339,00	07-2015	285,73986	PRAWDA	FA£SZ																
02.lip	20	0	12651,00	12651,00	651,00	0,00	349,00	PRAWDA	12000	FA£SZ	0,00	07-2015	0	PRAWDA	FA£SZ																
03.lip	22	0	630,00	25000,00	13000,00	0,00	21,00	PRAWDA	12000	PRAWDA	24370,00	07-2015	286,1038	PRAWDA	FA£SZ																
04.lip	25	0	12512,00	12512,00	512,00	0,00	488,00	PRAWDA	12000	FA£SZ	0,00	07-2015	0	PRAWDA	FA£SZ																
05.lip	26	0	491,00	25000,00	13000,00	0,00	21,00	PRAWDA	12000	PRAWDA	24509,00	07-2015	287,73566	PRAWDA	FA£SZ																
06.lip	22	0	12597,00	12597,00	597,00	0,00	403,00	PRAWDA	12000	FA£SZ	0,00	07-2015	0	PRAWDA	FA£SZ																
07.lip	22	18	13197,00	13197,00	13197,00	12600,00	0,00	FA£SZ	0	FA£SZ	0,00	07-2015	0	FA£SZ	PRAWDA																
08.lip	20	3	15297,00	15297,00	15297,00	2100,00	0,00	FA£SZ	0	FA£SZ	0,00	07-2015	0	FA£SZ	FA£SZ																
09.lip	16	0,2	15437,00	15437,00	3437,00	140,00	0,00	PRAWDA	12000	FA£SZ	0,00	07-2015	0	PRAWDA	FA£SZ																
10.lip	13	12,2	11977,00	11977,00	11977,00	8540,00	0,00	FA£SZ	0	FA£SZ	0,00	07-2015	0	FA£SZ	FA£SZ																
11.lip	16	0	11747,00	25000,00	13000,00	0,00	230,00	PRAWDA	12000	PRAWDA	13253,00	07-2015	155,59022	PRAWDA	FA£SZ																
12.lip	18	2	14400,00	14400,00	14400,00	1400,00	0,00	FA£SZ	0	FA£SZ	0,00	07-2015	0	FA£SZ	FA£SZ																
13.lip	18	12	22800,00	22800,00	22800,00	8400,00	0,00	FA£SZ	0	FA£SZ	0,00	07-2015	0	FA£SZ	FA£SZ																
14.lip	18	0	22277,00	22277,00	10277,00	0,00	523,00	PRAWDA	12000	FA£SZ	0,00	07-2015	0	PRAWDA	FA£SZ																
15.lip	18	0	10041,00	25000,00	13000,00	0,00	236,00	PRAWDA	12000	PRAWDA	14959,00	07-2015	175,61866	PRAWDA	FA£SZ																
16.lip	16	0	12750,00	12750,00	750,00	0,00	250,00	PRAWDA	12000	FA£SZ	0,00	07-2015	0	PRAWDA	FA£SZ																
17.lip	21	0	728,00	25000,00	13000,00	0,00	22,00	PRAWDA	12000	PRAWDA	24272,00	07-2015	284,95328	PRAWDA	FA£SZ																
18.lip	26	0	12482,00	12482,00	482,00	0,00	518,00	PRAWDA	12000	FA£SZ	0,00	07-2015	0	PRAWDA	FA£SZ																
19.lip	23	18	13082,00	13082,00	13082,00	12600,00	0,00	FA£SZ	0	FA£SZ	0,00	07-2015	0	FA£SZ	PRAWDA																
20.lip	19	0	12756,00	12756,00	756,00	0,00	326,00	PRAWDA	12000	FA£SZ	0,00	07-2015	0	PRAWDA	FA£SZ																
21.lip	20	6	4956,00	4956,00	4956,00	4200,00	0,00	FA£SZ	0	FA£SZ	0,00	07-2015	0	FA£SZ	FA£SZ																
22.lip	22	0	4802,00	25000,00	13000,00	0,00	154,00	PRAWDA	12000	PRAWDA	20198,00	07-2015	237,12452	PRAWDA	FA£SZ																
23.lip	20	0	12651,00	12651,00	651,00	0,00	349,00	PRAWDA	12000	FA£SZ	0,00	07-2015	0	PRAWDA	FA£SZ																
24.lip	20	0	633,00	25000,00	13000,00	0,00	18,00	PRAWDA	12000	PRAWDA	24367,00	07-2015	286,06858	PRAWDA	FA£SZ																
25.lip	23	0,1	13070,00	13070,00	1070,00	70,00	0,00	PRAWDA	12000	FA£SZ	0,00	07-2015	0	PRAWDA	FA£SZ																
26.lip	16	0	1049,00	25000,00	13000,00	0,00	21,00	PRAWDA	12000	PRAWDA	23951,00	07-2015	281,18474	PRAWDA	FA£SZ																
27.lip	16	0,1	13070,00	13070,00	1070,00	70,00	0,00	PRAWDA	12000	FA£SZ	0,00	07-2015	0	PRAWDA	FA£SZ																
28.lip	18	0,3	1280,00	25000,00	13000,00	210,00	0,00	PRAWDA	12000	PRAWDA	23720,00	07-2015	278,4728	PRAWDA	FA£SZ																
29.lip	18	0	12702,00	12702,00	702,00	0,00	298,00	PRAWDA	12000	FA£SZ	0,00	07-2015	0	PRAWDA	FA£SZ																
30.lip	14	0	690,00	690,00	690,00	0,00	12,00	FA£SZ	0	FA£SZ	0,00	07-2015	0	FA£SZ	FA£SZ																
31.lip	14	0	679,00	679,00	679,00	0,00	11,00	FA£SZ	0	FA£SZ	0,00	07-2015	0	FA£SZ	FA£SZ																
01.sie	16	0	665,00	25000,00	13000,00	0,00	14,00	PRAWDA	12000	PRAWDA	24335,00	08-2015	285,6929	PRAWDA	FA£SZ																
02.sie	22	0	12597,00	12597,00	597,00	0,00	403,00	PRAWDA	12000	FA£SZ	0,00	08-2015	0	PRAWDA	FA£SZ																
03.sie	22	0	578,00	25000,00	13000,00	0,00	19,00	PRAWDA	12000	PRAWDA	24422,00	08-2015	286,71428	PRAWDA	FA£SZ																
04.sie	25	0	12512,00	12512,00	512,00	0,00	488,00	PRAWDA	12000	FA£SZ	0,00	08-2015	0	PRAWDA	FA£SZ																
05.sie	24	0	493,00	25000,00	13000,00	0,00	19,00	PRAWDA	12000	PRAWDA	24507,00	08-2015	287,71218	PRAWDA	FA£SZ																
06.sie	24	0	12541,00	12541,00	541,00	0,00	459,00	PRAWDA	12000	FA£SZ	0,00	08-2015	0	PRAWDA	FA£SZ																
07.sie	28	0	516,00	25000,00	13000,00	0,00	25,00	PRAWDA	12000	PRAWDA	24484,00	08-2015	287,44216	PRAWDA	FA£SZ																
08.sie	28	0	12422,00	12422,00	422,00	0,00	578,00	PRAWDA	12000	FA£SZ	0,00	08-2015	0	PRAWDA	FA£SZ																
09.sie	24	0	407,00	25000,00	13000,00	0,00	15,00	PRAWDA	12000	PRAWDA	24593,00	08-2015	288,72182	PRAWDA	FA£SZ																
10.sie	24	0	12541,00	12541,00	541,00	0,00	459,00	PRAWDA	12000	FA£SZ	0,00	08-2015	0	PRAWDA	FA£SZ																
11.sie	26	0	519,00	25000,00	13000,00	0,00	22,00	PRAWDA	12000	PRAWDA	24481,00	08-2015	287,40694	PRAWDA	FA£SZ																
12.sie	32	0,6	13420,00	25000,00	1000,00	420,00	0,00	PRAWDA	24000	PRAWDA	11580,00	08-2015	135,9492	PRAWDA	FA£SZ																
13.sie	31	0,1	1070,00	25000,00	1000,00	70,00	0,00	PRAWDA	24000	PRAWDA	23930,00	08-2015	280,9382	PRAWDA	FA£SZ																
14.sie	33	0	943,00	25000,00	1000,00	0,00	57,00	PRAWDA	24000	PRAWDA	24057,00	08-2015	282,42918	PRAWDA	FA£SZ																
15.sie	31	12	9400,00	9400,00	9400,00	8400,00	0,00	FA£SZ	0	FA£SZ	0,00	08-2015	0	FA£SZ	FA£SZ																
16.sie	22	0	9109,00	25000,00	13000,00	0,00	291,00	PRAWDA	12000	PRAWDA	15891,00	08-2015	186,56034	PRAWDA	FA£SZ																
17.sie	24	0,2	13140,00	13140,00	1140,00	140,00	0,00	PRAWDA	12000	FA£SZ	0,00	08-2015	0	PRAWDA	FA£SZ																
18.sie	22	0	1104,00	25000,00	13000,00	0,00	36,00	PRAWDA	12000	PRAWDA	23896,00	08-2015	280,53904	PRAWDA	FA£SZ																
19.sie	19	0	12677,00	12677,00	677,00	0,00	323,00	PRAWDA	12000	FA£SZ	0,00	08-2015	0	PRAWDA	FA£SZ																
20.sie	18	0	661,00	25000,00	13000,00	0,00	16,00	PRAWDA	12000	PRAWDA	24339,00	08-2015	285,73986	PRAWDA	FA£SZ																
21.sie	18	0	12702,00	12702,00	702,00	0,00	298,00	PRAWDA	12000	FA£SZ	0,00	08-2015	0	PRAWDA	FA£SZ																
22.sie	18	0	685,00	25000,00	13000,00	0,00	17,00	PRAWDA	12000	PRAWDA	24315,00	08-2015	285,4581	PRAWDA	FA£SZ																
23.sie	19	0	12677,00	12677,00	677,00	0,00	323,00	PRAWDA	12000	FA£SZ	0,00	08-2015	0	PRAWDA	FA£SZ																
24.sie	21	5,5	4527,00	4527,00	4527,00	3850,00	0,00	FA£SZ	0	FA£SZ	0,00	08-2015	0	FA£SZ	FA£SZ																
25.sie	18	18	17127,00	17127,00	17127,00	12600,00	0,00	FA£SZ	0	FA£SZ	0,00	08-2015	0	FA£SZ	PRAWDA																
26.sie	19	12	25000,00	25000,00	25000,00	7873,00	0,00	FA£SZ	0	FA£SZ	0,00	08-2015	0	FA£SZ	FA£SZ																
27.sie	23	0	24172,00	24172,00	12172,00	0,00	828,00	PRAWDA	12000	FA£SZ	0,00	08-2015	0	PRAWDA	FA£SZ																
28.sie	17	0,1	12242,00	12242,00	242,00	70,00	0,00	PRAWDA	12000	FA£SZ	0,00	08-2015	0	PRAWDA	FA£SZ																
29.sie	16	14	10042,00	10042,00	10042,00	9800,00	0,00	FA£SZ	0	FA£SZ	0,00	08-2015	0	FA£SZ	FA£SZ																
30.sie	22	0	9731,00	25000,00	13000,00	0,00	311,00	PRAWDA	12000	PRAWDA	15269,00	08-2015	179,25806	PRAWDA	FA£SZ																
31.sie	26	0	12482,00	12482,00	482,00	0,00	518,00	PRAWDA	12000	FA£SZ	0,00	08-2015	0	PRAWDA	FA£SZ																
01.wrz	27	2	1882,00	1882,00	1882,00	1400,00	0,00	FA£SZ	0	FA£SZ	0,00	09-2015	0	FA£SZ	FA£SZ																
02.wrz	18	0	1838,00	25000,00	13000,00	0,00	44,00	PRAWDA	12000	PRAWDA	23162,00	09-2015	271,92188	PRAWDA	FA£SZ																
03.wrz	17	0	12726,00	12726,00	726,00	0,00	274,00	PRAWDA	12000	FA£SZ	0,00	09-2015	0	PRAWDA	FA£SZ																
04.wrz	16	0,1	796,00	25000,00	13000,00	70,00	0,00	PRAWDA	12000	PRAWDA	24204,00	09-2015	284,15496	PRAWDA	FA£SZ																
05.wrz	15	0	12773,00	12773,00	12773,00	0,00	227,00	FA£SZ	0	FA£SZ	0,00	09-2015	0	FA£SZ	FA£SZ																
06.wrz	12	4	15573,00	15573,00	15573,00	2800,00	0,00	FA£SZ	0	FA£SZ	0,00	09-2015	0	FA£SZ	FA£SZ																
07.wrz	13	0	15354,00	15354,00	15354,00	0,00	219,00	FA£SZ	0	FA£SZ	0,00	09-2015	0	FA£SZ	FA£SZ																
08.wrz	11	4	18154,00	18154,00	18154,00	2800,00	0,00	FA£SZ	0	FA£SZ	0,00	09-2015	0	FA£SZ	FA£SZ																
09.wrz	11	0	17955,00	17955,00	17955,00	0,00	199,00	FA£SZ	0	FA£SZ	0,00	09-2015	0	FA£SZ	FA£SZ																
10.wrz	12	0	17731,00	17731,00	17731,00	0,00	224,00	FA£SZ	0	FA£SZ	0,00	09-2015	0	FA£SZ	FA£SZ																
11.wrz	16	0,1	17801,00	17801,00	5801,00	70,00	0,00	PRAWDA	12000	FA£SZ	0,00	09-2015	0	PRAWDA	FA£SZ																
12.wrz	18	0	5668,00	25000,00	13000,00	0,00	133,00	PRAWDA	12000	PRAWDA	19332,00	09-2015	226,95768	PRAWDA	FA£SZ																
13.wrz	18	0	12702,00	12702,00	702,00	0,00	298,00	PRAWDA	12000	FA£SZ	0,00	09-2015	0	PRAWDA	FA£SZ																
14.wrz	19	3	2802,00	2802,00	2802,00	2100,00	0,00	FA£SZ	0	FA£SZ	0,00	09-2015	0	FA£SZ	FA£SZ																
15.wrz	16	0,1	2872,00	25000,00	13000,00	70,00	0,00	PRAWDA	12000	PRAWDA	22128,00	09-2015	259,78272	PRAWDA	FA£SZ																
16.wrz	18	0	12702,00	12702,00	702,00	0,00	298,00	PRAWDA	12000	FA£SZ	0,00	09-2015	0	PRAWDA	FA£SZ																
17.wrz	22	0,5	1052,00	25000,00	13000,00	350,00	0,00	PRAWDA	12000	PRAWDA	23948,00	09-2015	281,14952	PRAWDA	FA£SZ																
18.wrz	16	0	12750,00	12750,00	750,00	0,00	250,00	PRAWDA	12000	FA£SZ	0,00	09-2015	0	PRAWDA	FA£SZ																
19.wrz	15	0	736,00	736,00	736,00	0,00	14,00	FA£SZ	0	FA£SZ	0,00	09-2015	0	FA£SZ	FA£SZ																
20.wrz	14	2	2136,00	2136,00	2136,00	1400,00	0,00	FA£SZ	0	FA£SZ	0,00	09-2015	0	FA£SZ	FA£SZ																
21.wrz	12	0	2109,00	2109,00	2109,00	0,00	27,00	FA£SZ	0	FA£SZ	0,00	09-2015	0	FA£SZ	FA£SZ																
22.wrz	13	0	2079,00	2079,00	2079,00	0,00	30,00	FA£SZ	0	FA£SZ	0,00	09-2015	0	FA£SZ	FA£SZ																
23.wrz	15	0	2042,00	2042,00	2042,00	0,00	37,00	FA£SZ	0	FA£SZ	0,00	09-2015	0	FA£SZ	FA£SZ																
24.wrz	15	0	2006,00	2006,00	2006,00	0,00	36,00	FA£SZ	0	FA£SZ	0,00	09-2015	0	FA£SZ	FA£SZ																
25.wrz	14	0	1974,00	1974,00	1974,00	0,00	32,00	FA£SZ	0	FA£SZ	0,00	09-2015	0	FA£SZ	FA£SZ																
26.wrz	12	0	1949,00	1949,00	1949,00	0,00	25,00	FA£SZ	0	FA£SZ	0,00	09-2015	0	FA£SZ	FA£SZ																
27.wrz	11	0	1927,00	1927,00	1927,00	0,00	22,00	FA£SZ	0	FA£SZ	0,00	09-2015	0	FA£SZ	FA£SZ																
